instances, , , ,Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 15,15,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 32,32,num_k_cores, Original Model, , , ,Reduced Model
